PO:0006206	palisade mesophyll cell	柵状葉肉細胞   
PO:0006207	exodermal passage cell	外皮通過細胞   
PO:0006208	endodermal passage cell	内胚葉通過細胞   
PO:0006209	lateral root epidermis	側根表皮
PO:0006210	protoderm	前表皮、原表皮
PO:0006211	separation layer	隔離層   
PO:0006212	protective layer	保護層   
PO:0006213	root aerenchyma	根通気組織   
PO:0006214	stem aerenchyma	茎通気組織   
PO:0006215	leaf aerenchyma	葉通気組織   
PO:0006216	internal phloem	内部師部
PO:0006218	exotegmen	内珠皮の外側の表皮から発生する内種皮   
PO:0006219	endotegmen	内珠皮の内側の表皮から発生する内種皮   
PO:0006220	central endosperm	中心内胚乳、胚乳   
PO:0006221	articulated laticifer cell	連合乳管（有節乳管）細胞   
PO:0006222	non-articulated laticifer cell	無節乳管細胞、単乳管細胞   
PO:0006301	corpus	内体
PO:0006302	tunica	外衣
PO:0006303	L1	L1
PO:0006304	L2	L2
PO:0006305	L3	L3
PO:0006307	root procambium	根前形成層   
PO:0006308	root lateral meristem	根側部分裂組織   
PO:0006309	tassel spikelet	雄穂（花）の小穂   
PO:0006310	tassel floret	雄穂小花   
PO:0006311	tassel sessile spikelet	雄穂（花）の無柄小穂   
PO:0006312	tassel pedicellate spikelet	雄穂（花）の有柄小穂   
PO:0006313	lower floret of pedicellate spikelet of tassel	雄穂（花）の有柄小穂の下位小花   
PO:0006314	upper floret of pedicellate spikelet of tassel	雄穂（花）の有柄小穂の上位小花   
PO:0006315	lower floret of sessile spikelet of tassel	雄穂（花）の無柄小穂の下位小花   
PO:0006316	upper floret of sessile spikelet of tassel	雄穂（花）の無柄小穂の上位小花   
PO:0006319	spikelet pedicel	小穂小花柄   
PO:0006320	ear spikelet	雌穂（花）小穂   
PO:0006321	second order inflorescence axis	第二花序軸   
PO:0006322	third order inflorescence axis	第三花序軸   
PO:0006323	tassel branch	雄穂枝   
PO:0006324	central spike of tassel	雄穂(花）中央の穂   
PO:0006325	inflorescence node	花序節   
PO:0006326	inflorescence internode	花序節間   
PO:0006327	spikelet meristem	小穂分裂組織   
PO:0006328	spikelet pair meristem	小穂対分裂組織   
PO:0006330	gynophore	花被間柱、子房柄、雌蕊柄   
PO:0006331	seed raphe	種子背線、縫線   
PO:0006332	seed funicle	種子種柄   
PO:0006333	seed chalaza	種子 カラザ   
PO:0006334	seed micropyle	種子珠孔   
PO:0006336	seed obturator	種子閉塞組織   
PO:0006338	embryo leaf	初期の葉、胚葉
PO:0006339	juvenile vascular leaf	維管束系幼葉
PO:0006340	adult vascular leaf	維管束系の成葉
PO:0006341	primary shoot	一次分げつ系
PO:0006342	infructescence	果序   
PO:0006343	axillary shoot system	腋苗条系   
PO:0006344	shoot lateral meristem	茎側分裂組織   
PO:0006345	pollen tube	花粉管   
PO:0006346	leaf intercalary meristem	葉 介在 分裂組織   
PO:0006347	stem intercalary meristem	茎介在分裂組織   
PO:0006348	ear pedicellate spikelet	雌穂（花）の有柄小穂   
PO:0006349	ear sessile spikelet	雌穂の無柄小穂   
PO:0006350	upper floret of pedicellate spikelet of ear	雌穂（花）の有柄小穂の上位小花   
PO:0006351	lower floret of sessile spikelet of ear	雌穂（花）の無柄小穂の下位小花   
PO:0006352	upper floret of sessile spikelet of ear	雌穂（花）の無柄小穂の上位小花   
PO:0006353	lower floret of pedicellate spikelet of ear	雌穂（花）の有柄小穂の下位小花   
PO:0006354	ear floret	雌穂小花   
PO:0006358	tassel spikelet pair meristem	雄穂（花）の小穂対分裂組織   
PO:0006360	ear spikelet pair meristem	雌穂（花）小穂対分裂組織   
PO:0006362	embryo shoot apical meristem	胚性シュート頂端分裂組織   
PO:0006367	glume of ear spikelet	雌穂小穂の苞頴   
PO:0006368	glume of tassel spikelet	雄穂小穂の苞頴   
PO:0006369	lower glume of ear spikelet	雌穂（花）小穂の第一苞頴(first glume)   
PO:0006370	upper glume of tassel spikelet	雄穂（花）小穂の第二苞頴(second glume)   
PO:0006371	upper glume of ear spikelet	雌穂（花）小穂の第二苞頴(second glume)   
PO:0006372	lower glume of tassel spikelet	雄穂（花）小穂の第一苞頴(first glume)   
PO:0006375	ear apical meristem	雌穂頂分裂組織   
